Timepoint   	P4          	SD          	E2          	SD          	LH_blood    	SD          	FSH_blood   	SD          
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	6.370000e+00	1.000000e+00
-1.300000e+01	1.380001e+00	1.000000e+00	3.323158e+00	1.000000e+00	2.810000e+00	1.000000e+00	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	8.600000e+00	1.000000e+00
-1.300000e+01	4.900009e-01	1.000000e+00	5.883624e+01	1.000000e+00	4.000000e+00	1.000000e+00	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	5.570000e+00	1.000000e+00
-1.300000e+01	7.200011e-01	1.000000e+00	3.404875e+01	1.000000e+00	5.710000e+00	1.000000e+00	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	5.790000e+00	1.000000e+00
-1.300000e+01	8.399997e-01	1.000000e+00	2.328934e+01	1.000000e+00	4.660000e+00	1.000000e+00	5.670000e+00	1.000000e+00
-1.300000e+01	5.200013e-01	1.000000e+00	4.249284e+01	1.000000e+00	6.760000e+00	1.000000e+00	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	6.620000e+00	1.000000e+00
-1.300000e+01	8.299995e-01	1.000000e+00	3.704504e+01	1.000000e+00	7.550000e+00	1.000000e+00	1.350000e+01	1.000000e+00
-1.300000e+01	5.799990e-01	1.000000e+00	5.202649e+01	1.000000e+00	8.860000e+00	1.000000e+00	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	4.980000e+00	1.000000e+00
-1.300000e+01	8.800003e-01	1.000000e+00	4.984737e+01	1.000000e+00	3.880000e+00	1.000000e+00	6.900000e+00	1.000000e+00
-1.300000e+01	8.299995e-01	1.000000e+00	3.541070e+01	1.000000e+00	4.840000e+00	1.000000e+00	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.200000e+01	1.120001e+00	1.000000e+00	3.993237e+01	1.000000e+00	3.370000e+00	1.000000e+00	3.900000e+00	1.000000e+00
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.200000e+01	1.219999e+00	1.000000e+00	3.361293e+01	1.000000e+00	5.800000e+00	1.000000e+00	6.530000e+00	1.000000e+00
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.200000e+01	1.050000e+00	1.000000e+00	3.214202e+00	1.000000e+00	6.430000e+00	1.000000e+00	7.700000e+00	1.000000e+00
-1.200000e+01	5.799990e-01	1.000000e+00	3.404875e+01	1.000000e+00	8.480000e+00	1.000000e+00	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	4.500000e+00	1.000000e+00
-1.200000e+01	1.199999e+00	1.000000e+00	3.105246e+01	1.000000e+00	3.650000e+00	1.000000e+00	6.430000e+00	1.000000e+00
-1.200000e+01	6.299998e-01	1.000000e+00	3.840699e+01	1.000000e+00	2.900000e+00	1.000000e+00	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	6.520000e+00	1.000000e+00
-1.200000e+01	8.259995e-01	1.000000e+00	2.222702e+01	1.000000e+00	6.120000e+00	1.000000e+00	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	9.380000e+00	1.000000e+00
-1.200000e+01	4.700006e-01	1.000000e+00	3.731743e+01	1.000000e+00	4.550000e+00	1.000000e+00	5.940000e+00	1.000000e+00
-1.200000e+01	5.000010e-01	1.000000e+00	4.058611e+01	1.000000e+00	5.150000e+00	1.000000e+00	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	5.600000e+00	1.000000e+00
-1.200000e+01	9.200009e-01	1.000000e+00	4.358240e+01	1.000000e+00	3.010000e+00	1.000000e+00	4.450000e+00	1.000000e+00
-1.200000e+01	6.229997e-01	1.000000e+00	2.269009e+01	1.000000e+00	7.340000e+00	1.000000e+00	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	7.370000e+00	1.000000e+00
-1.200000e+01	9.000006e-01	1.000000e+00	2.290800e+01	1.000000e+00	5.950000e+00	1.000000e+00	7.390000e+00	1.000000e+00
-1.200000e+01	7.899990e-01	1.000000e+00	2.492368e+01	1.000000e+00	8.740000e+00	1.000000e+00	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	6.270000e+00	1.000000e+00
-1.200000e+01	6.389999e-01	1.000000e+00	2.432443e+01	1.000000e+00	4.960000e+00	1.000000e+00	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	7.860000e+00	1.000000e+00
-1.200000e+01	7.599985e-01	1.000000e+00	2.996290e+01	1.000000e+00	5.880000e+00	1.000000e+00	9.600000e+00	1.000000e+00
-1.200000e+01	7.100009e-01	1.000000e+00	3.105246e+01	1.000000e+00	1.580000e+01	1.000000e+00	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	7.250000e+00	1.000000e+00
-1.200000e+01	1.189999e+00	1.000000e+00	3.595548e+01	1.000000e+00	2.950000e+00	1.000000e+00	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	3.410000e+00	1.000000e+00
-1.200000e+01	2.529999e+00	1.000000e+00	9.588128e+01	1.000000e+00	2.640000e+00	1.000000e+00	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.200000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	8.690000e+00	1.000000e+00
-1.200000e+01	1.820001e+00	1.000000e+00	5.692951e+01	1.000000e+00	9.140000e+00	1.000000e+00	n/a         	n/a         
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.100000e+01	1.050000e+00	1.000000e+00	3.595548e+01	1.000000e+00	4.740000e+00	1.000000e+00	7.350000e+00	1.000000e+00
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.100000e+01	5.000010e-01	1.000000e+00	4.004133e+01	1.000000e+00	3.860000e+00	1.000000e+00	6.270000e+00	1.000000e+00
-1.100000e+01	4.300000e-01	1.000000e+00	6.237731e+01	1.000000e+00	8.770000e+00	1.000000e+00	1.210000e+01	1.000000e+00
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	7.330000e+00	1.000000e+00
-1.100000e+01	3.499988e-01	1.000000e+00	3.976894e+01	1.000000e+00	4.660000e+00	1.000000e+00	5.570000e+00	1.000000e+00
-1.100000e+01	9.200009e-01	1.000000e+00	3.350397e+01	1.000000e+00	8.370000e+00	1.000000e+00	n/a         	n/a         
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	1.020000e+01	1.000000e+00
-1.100000e+01	3.399987e-01	1.000000e+00	6.673555e+01	1.000000e+00	7.560000e+00	1.000000e+00	n/a         	n/a         
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	6.210000e+00	1.000000e+00
-1.100000e+01	1.110000e+00	1.000000e+00	2.565914e+01	1.000000e+00	9.480000e+00	1.000000e+00	n/a         	n/a         
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	3.380000e+00	1.000000e+00
-1.100000e+01	4.400001e-01	1.000000e+00	4.222045e+01	1.000000e+00	2.460000e+00	1.000000e+00	7.590000e+00	1.000000e+00
-1.100000e+01	1.480000e+00	1.000000e+00	6.057954e+01	1.000000e+00	3.640000e+00	1.000000e+00	n/a         	n/a         
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	6.690000e+00	1.000000e+00
-1.100000e+01	7.999991e-01	1.000000e+00	1.114075e+02	1.000000e+00	4.330000e+00	1.000000e+00	n/a         	n/a         
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	8.770000e+00	1.000000e+00
-1.100000e+01	1.330001e+00	1.000000e+00	3.241441e+01	1.000000e+00	4.480000e+00	1.000000e+00	n/a         	n/a         
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	8.400000e+00	1.000000e+00
